index,name,class,split,combination,n_iter,jaccard_oracle_cluster,jaccard_heuristic,jaccard_min_border,jaccard_max_saturation,jaccard,jaccard_post
0,riped_tomato_10.jpeg,unripe,train,R,8,0.37516469038208167,0.37516469038208167,0.37516469038208167,0.11802569953164405,0.37516469038208167,0.4512676701196131
0,riped_tomato_10.jpeg,unripe,train,G,8,0.3797457139059939,0.3797457139059939,0.3797457139059939,0.10703477700054571,0.3797457139059939,0.46714002642007924
0,riped_tomato_10.jpeg,unripe,train,B,7,0.20819712124908515,0.19879435539114948,0.19879435539114948,0.20819712124908515,0.19879435539114948,0.228208027133974
0,riped_tomato_10.jpeg,unripe,train,RG,7,0.3747397012222725,0.3747397012222725,0.3747397012222725,0.11297399318577346,0.3747397012222725,0.4618684730454417
0,riped_tomato_10.jpeg,unripe,train,RB,8,0.2976893159460078,0.2976893159460078,0.2976893159460078,0.1555127705205693,0.2976893159460078,0.3525343072155821
0,riped_tomato_10.jpeg,unripe,train,GB,6,0.30362116991643456,0.30362116991643456,0.30362116991643456,0.14949093618077974,0.30362116991643456,0.3673849865657729
0,riped_tomato_10.jpeg,unripe,train,RGB,5,0.33194107608012213,0.33194107608012213,0.33194107608012213,0.13529947564067846,0.33194107608012213,0.4001321658681645
1,unriped_tomato_1.jpeg,unripe,test,R,7,0.18462501303848963,0.18462501303848963,0.18462501303848963,0.0752497371188223,0.18462501303848963,0.21067015209125475
1,unriped_tomato_1.jpeg,unripe,test,G,8,0.20303629795286426,0.20303629795286426,0.20303629795286426,0.042080898535326705,0.20303629795286426,0.22431726430776538
1,unriped_tomato_1.jpeg,unripe,test,B,7,0.16239189339668164,0.16239189339668164,0.0641958967571145,0.16239189339668164,0.16239189339668164,0.19148121193549622
1,unriped_tomato_1.jpeg,unripe,test,RG,7,0.20137171651192087,0.20137171651192087,0.20137171651192087,0.05373939587548362,0.20137171651192087,0.22253945182724252
1,unriped_tomato_1.jpeg,unripe,test,RB,8,0.12934173669467788,0.10149196997054072,0.10149196997054072,0.12934173669467788,0.10149196997054072,0.11317795922781593
1,unriped_tomato_1.jpeg,unripe,test,GB,6,0.11855063942378362,0.11855063942378362,0.11628114673573278,0.11855063942378362,0.11855063942378362,0.17001586462189316
1,unriped_tomato_1.jpeg,unripe,test,RGB,3,0.1335934596804162,0.1335934596804162,0.1335934596804162,0.10520692357005484,0.1335934596804162,0.14790344397045052
2,unriped_tomato_11.jpeg,unripe,train,R,2,0.9547431452883707,0.9547431452883707,0.9547431452883707,0.9547431452883707,0.9547431452883707,0.958009724063901
2,unriped_tomato_11.jpeg,unripe,train,G,7,0.25462040224678384,0.2506932190572221,0.2506932190572221,0.2506932190572221,0.2506932190572221,0.24153612935826174
2,unriped_tomato_11.jpeg,unripe,train,B,2,0.9368528697430654,0.9368528697430654,0.9368528697430654,0.9368528697430654,0.9368528697430654,0.9689778687476014
2,unriped_tomato_11.jpeg,unripe,train,RG,3,0.9422824661128115,0.9422824661128115,0.9422824661128115,0.9422824661128115,0.9422824661128115,0.9494209702660407
2,unriped_tomato_11.jpeg,unripe,train,RB,3,0.9407232904622437,0.9407232904622437,0.9407232904622437,0.9407232904622437,0.9407232904622437,0.9664031620553359
